Time,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,,A0C85051515,
and,Water Temp C,,Turbidity FNU,,Specific Conductivity µS/cm,,pH,,Dissolved Oxygen mg/L,,Chlorophyll µg/L,
Date,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual,Point,Qual
6/26/2020 23:30,28.5,1,31.12,1,768,1,7.79,1,3.38,1,25.36,1
6/26/2020 23:45,28.2,1,34.24,1,770,1,7.71,1,2.21,1,22.66,1
6/27/2020 0:00,28.2,1,28.28,1,769,1,7.74,1,2.73,1,26.08,1
6/27/2020 0:15,28.3,1,30.95,1,768,1,7.77,1,3.07,1,26.45,1
6/27/2020 0:30,28.2,1,28.71,1,768,1,7.77,1,3.21,1,25.27,1
6/27/2020 0:45,28.1,1,36.31,1,769,1,7.77,1,2.93,1,24.8,1
6/27/2020 1:00,28.1,1,26.76,1,768,1,7.79,1,3.22,1,26.62,1
6/27/2020 1:15,28,1,25,1,768,1,7.78,1,3.1,1,24.54,1
6/27/2020 1:30,27.9,1,27.34,1,768,1,7.77,1,2.98,1,25.23,1
6/27/2020 1:45,27.9,1,28.33,1,767,1,7.78,1,2.97,1,24.03,1
6/27/2020 2:00,27.8,1,33.15,1,767,1,7.76,1,2.77,1,24.36,1
6/27/2020 2:15,27.7,1,27.06,1,767,1,7.76,1,2.73,1,20.71,1
6/27/2020 2:30,27.7,1,30.3,1,767,1,7.75,1,2.57,1,22.02,1
6/27/2020 2:45,27.6,1,26.77,1,767,1,7.75,1,2.52,1,23.25,1
6/27/2020 3:00,27.6,1,27.56,1,767,1,7.74,1,2.39,1,23.69,1
6/27/2020 3:15,27.5,1,28.73,1,767,1,7.74,1,2.41,1,21.28,1
6/27/2020 3:30,27.5,1,30.36,1,767,1,7.74,1,2.31,1,24.11,1
6/27/2020 3:45,27.5,1,28.86,1,767,1,7.73,1,2.19,1,24.95,1
6/27/2020 4:00,27.4,1,30.19,1,768,1,7.72,1,2.07,1,26.58,1
6/27/2020 4:15,27.4,1,29.94,1,768,1,7.71,1,1.9,1,29.87,1
6/27/2020 4:30,27.3,1,28.21,1,768,1,7.72,1,1.98,1,21.85,1
6/27/2020 4:45,27.3,1,28.19,1,768,1,7.72,1,1.96,1,24.93,1
6/27/2020 5:00,27.3,1,27.68,1,768,1,7.72,1,1.94,1,24.68,1
6/27/2020 5:15,27.3,1,30.94,1,768,1,7.72,1,1.9,1,25.11,1
6/27/2020 5:30,27.2,1,26.28,1,768,1,7.71,1,1.86,1,22.63,1
6/27/2020 5:45,27.2,1,26.93,1,768,1,7.71,1,1.83,1,29.4,1
6/27/2020 6:00,27.2,1,26.95,1,768,1,7.71,1,1.78,1,28.1,1
6/27/2020 6:15,27.1,1,29.64,1,767,1,7.71,1,1.79,1,27,1
6/27/2020 6:30,27.1,1,28.97,1,767,1,7.71,1,1.83,1,22.68,1
6/27/2020 6:45,27.1,1,27.93,1,768,1,7.71,1,1.79,1,25.3,1
6/27/2020 7:00,27.1,1,27.38,1,768,1,7.71,1,1.74,1,28.56,1
6/27/2020 7:15,27,1,25.2,1,768,1,7.7,1,1.66,1,23.03,1
6/27/2020 7:30,27,1,24.17,1,768,1,7.7,1,1.62,1,27.08,1
6/27/2020 7:45,27,1,24.61,1,768,1,7.7,1,1.62,1,28.92,1
6/27/2020 8:00,27,1,25.06,1,768,1,7.71,1,1.7,1,26.58,1
